belong,title,url,category,sub_category
Best Seller, Women,https://www.amazon.com/Best-Sellers-Womens-Fashion/zgbs/fashion/7147440011/ref=zg_bs_unv_2_1040660_1,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry"
Best Seller, Shops,https://www.amazon.com/Best-Sellers-Womens-Shops/zgbs/fashion/7581668011/ref=zg_bs_nav_2_7147440011/130-2707351-0207812,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women"
Best Seller, Accessories,https://www.amazon.com/Best-Sellers-Womens-Accessories/zgbs/fashion/2474936011/ref=zg_bs_nav_2_7147440011/130-2707351-0207812,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women"
Best Seller, Handbags & Wallets,https://www.amazon.com/Best-Sellers-Womens-Handbags-Purses/zgbs/fashion/15743631/ref=zg_bs_nav_2_7147440011/130-2707351-0207812,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women"
Best Seller, Watches,https://www.amazon.com/Best-Sellers-Womens-Watches/zgbs/fashion/6358543011/ref=zg_bs_nav_2_7147440011/130-2707351-0207812,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women"
Best Seller, Jewelry,https://www.amazon.com/Best-Sellers-Womens-Jewelry/zgbs/fashion/7192394011/ref=zg_bs_nav_2_7147440011/130-2707351-0207812,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women"
Best Seller, Shoes,https://www.amazon.com/Best-Sellers-Womens-Shoes/zgbs/fashion/679337011/ref=zg_bs_nav_2_7147440011/130-2707351-0207812,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women"
Best Seller, Clothing,https://www.amazon.com/Best-Sellers-Womens-Clothing/zgbs/fashion/1040660/ref=zg_bs_nav_2_7147440011/130-2707351-0207812,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women"
Best Seller," Uniforms, Work & Safety",https://www.amazon.com/Best-Sellers-Womens-Uniforms-Work-Safety/zgbs/fashion/7581679011/ref=zg_bs_nav_3_7581668011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops"
Best Seller, Plus-Size,https://www.amazon.com/Best-Sellers-Plus-Size/zgbs/fashion/7581677011/ref=zg_bs_nav_3_7581668011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops"
Best Seller, Petite,https://www.amazon.com/Best-Sellers-Petite/zgbs/fashion/7581676011/ref=zg_bs_nav_3_7581668011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops"
Best Seller, Maternity,https://www.amazon.com/Best-Sellers-Maternity/zgbs/fashion/7581675011/ref=zg_bs_nav_3_7581668011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops"
Best Seller, Juniors,https://www.amazon.com/Best-Sellers-Juniors-Clothing/zgbs/fashion/7581674011/ref=zg_bs_nav_3_7581668011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops"
Best Seller, Special Occasion Accessories,https://www.amazon.com/Best-Sellers-Womens-Special-Occasion-Accessories/zgbs/fashion/7072325011/ref=zg_bs_nav_3_2474936011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories"
Best Seller, Contemporary & Designer,https://www.amazon.com/Best-Sellers-Womens-Contemporary-Designer-Fashion/zgbs/fashion/11300394011/ref=zg_bs_nav_3_7581668011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops"
Best Seller," Wallets, Card Cases & Money Organizers",https://www.amazon.com/Best-Sellers-Womens-Wallets-Card-Cases-Money-Organizers/zgbs/fashion/7072326011/ref=zg_bs_nav_3_2474936011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories"
Best Seller,Keyrings & Keychains,https://www.amazon.com/Best-Sellers-Womens-Keyrings-Keychains/zgbs/fashion/2475896011/ref=zg_bs_nav_3_2474936011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories"
Best Seller, Handbag Accessories,https://www.amazon.com/Best-Sellers-Womens-Handbag-Accessories/zgbs/fashion/7072327011/ref=zg_bs_nav_3_2474936011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories"
Best Seller, Hats & Caps,https://www.amazon.com/Best-Sellers-Womens-Hats-Caps/zgbs/fashion/2474945011/ref=zg_bs_nav_3_2474936011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories"
Best Seller,Wristlets,https://www.amazon.com/Best-Sellers-Womens-Wristlet-Handbags/zgbs/fashion/673131011/ref=zg_bs_nav_3_15743631,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Handbags & Wallets"
Best Seller,Certified Pre-Owned,https://www.amazon.com/Best-Sellers-Womens-Certified-Pre-Owned-Watches/zgbs/fashion/13779933011/ref=zg_bs_nav_3_6358543011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Watches"
Best Seller,Earmuffs,https://www.amazon.com/Best-Sellers-Womens-Earmuffs/zgbs/fashion/2474962011/ref=zg_bs_nav_3_2474936011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories"
Best Seller,Smart Jewelry,https://www.amazon.com/Best-Sellers-Womens-Fashion-Smart-Jewelry/zgbs/fashion/14252013011/ref=zg_bs_nav_3_7192394011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Jewelry"
Best Seller, Socks & Hosiery,https://www.amazon.com/Best-Sellers-Womens-Socks-Hosiery/zgbs/fashion/1044886/ref=zg_bs_nav_3_1040660,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Clothing"
Best Seller, Work & Safety,https://www.amazon.com/Best-Sellers-Womens-Work-Safety-Footwear/zgbs/fashion/679442011/ref=zg_bs_nav_3_679337011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shoes"
Best Seller, Work & Safety,https://www.amazon.com/Best-Sellers-Womens-Work-Safety-Footwear/zgbs/fashion/679442011/ref=zg_bs_nav_4_7581679011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shoes"
Best Seller, Maternity,https://www.amazon.com/Best-Sellers-Plus-Size-Maternity-Clothing/zgbs/fashion/5605409011/ref=zg_bs_nav_4_7581677011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Plus-Size"
Best Seller, Socks & Hosiery,https://www.amazon.com/Best-Sellers-Womens-Petite-Socks-Hosiery/zgbs/fashion/6114090011/ref=zg_bs_nav_4_7581676011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Petite"
Best Seller, Clothing Sets,https://www.amazon.com/Best-Sellers-Maternity-Clothing-Sets/zgbs/fashion/5674523011/ref=zg_bs_nav_4_7581675011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Maternity"
Best Seller, Socks & Hosiery,https://www.amazon.com/Best-Sellers-Juniors-Socks-Hosiery/zgbs/fashion/9650243011/ref=zg_bs_nav_4_7581674011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors"
